category,name,price
Grapple,AV20G,4410
Grapple,AV20H,2330
Box Blade,BB2048L,902
Box Blade,BB2060,1164
Box Blade,BB2072,1345
Bale Unroller,BU1060,1129
Grooming Mowers,GM1060E,2954
Grooming Mowers,GM1072E,3253
Grooming Mowers,GM2060R,3831
Grooming Mowers,GM2072R,4139
Hay Spear,HS2001,402
Hay Spear,HS2002,562
Land Plane,LP1048L,1469
Land Plane,LP1172,1616
Land Plane,LP1208,3242
Inline Bale Wrapper,LW1166,40721
Post Hole Auger,PHA009,354
Post Hole Auger,PHA109,350
Post Hole Auger,PHA112,426
Digger,PHD100,1181
Digger,PHD200,1291
Rear Blade,RB2060,791
Rear Blade,RB2060L,568
Rear Blade,RB2072,857
Rear Blade,RB2184,1731
Rear Blade,RB2196H,1840
Rear Blade,RB2272,2355
Rear Blade,RB2307,2897
Rear Blade,RB2309,3298
Rotary Cutter,RC2048,1986
Rotary Cutter,RC2060,2244
Rotary Cutter,RC2072,2614
Rotary Cutter,RC2084,3911
Tiller,RT1142,2252
Tiller,RT1149,2405
Tiller,RT1157,2978
Tiller,RT1165,3534
Tiller,RT1173,4515
Broadcast Spreader,SS1067B,932
Broadcast Spreader,SS3067B,821
Tedder,TD1316,9790
Tedder,TD3418,12534
Tedder,TD3427,25559
Wheel Rake,WR1212,21088
Wheel Rake,WR1214,26755
Wheel Rake,WR3110,9529
Wheel Rake,WR3112,10428
Bale Spear,AB12E,788
Bale Spear,AB12G,900
Bale Spear,AB13G,912
Pallet Fork,AP12D,1405
Pallet Fork,AP12D,1470
Pallet Fork,AP12F,1187
Pallet Fork,AP12F,1259
Pallet Fork,AP13G,1291
Pallet Fork,AP13G,1381